N seq,Group,Label,Behaviour,WHO 5th/ICD-O-3.2 Code,WHO 5th/ICD-O-3.2 Label,Si/No,behaviour
1,,,/0,8670/0,Steroid cell tumour NOS,No,
2,,,/3,8670/3,"Steroid cell tumour, malignant",No,
3,,,/3,8693/3,Cauda equina neuroendocrine tumour (previously paraganglioma),No,
4,,,/3,8693/3,Extra-adrenal paraganglioma,No,
,"Malignant glomus tumor (8710, 8711)",Glomangiosarcoma (8710) ,/3,8710/3,Glomangiosarcoma,,
5,"Malignant glomus tumor (8710, 8711)",Malignant glomus tumor (8711),/0,8711/0,Glomus tumour NOS,Si,Benign
6,"Malignant glomus tumor (8710, 8711)",Malignant glomus tumor (8711),/0,8711/0,          Classic glomus tumour†,Si,Benign
7,"Malignant glomus tumor (8710, 8711)",Malignant glomus tumor (8711),/0,8711/0,          Symplastic glomus tumour†,Si,Benign
8,"Malignant glomus tumor (8710, 8711)",Malignant glomus tumor (8711),/1,8711/1,Glomangiomatosis,Si,Benign
9,"Malignant glomus tumor (8710, 8711)",Malignant glomus tumor (8711),/1,8711/1,Glomus tumour of uncertain malignant potential,Si,Borderline
10,"Malignant glomus tumor (8710, 8711)",Malignant glomus tumor (8711),/3,8711/3,"Glomus tumour, malignant",Si,Malignant
11,"Malignant glomus tumor (8710, 8711)",Malignant glomus tumor (8711),,,     Glomuvenous malformation,No,
12,PEComa (8714),PEComa (8714),/0,8714/0,"Perivascular epithelioid tumour, benign",Si,Benign
13,PEComa (8714),PEComa (8714),/0,8714/0,"PEComa, benign",Si,Benign
14,PEComa (8714),PEComa (8714),,,Sclerosing PEComa,Si,Benign
15,PEComa (8714),PEComa (8714),/3,8714/3,"Perivascular epithelioid tumour, malignant",Si,Malignant
16,PEComa (8714),PEComa (8714),/3,8714/3,"PEComa, malignant",Si,Malignant
,"Undifferentiated/unclassified sarcoma (8800-8802, 8805, 8830)","Sarcoma, NOS (8800)",/0,8800/0,"Soft tissue tumor, benign",,
,"Undifferentiated/unclassified sarcoma (8800-8802, 8805, 8830)","Sarcoma, NOS (8800)",/3,8800/3,"Sarcoma, NOS",,
17,"Undifferentiated/unclassified sarcoma (8800-8802, 8805, 8830)",Spindle cell sarcoma (8801),/3,8801/3,"Spindle cell sarcoma, undifferentiated",Si,Malignant
18,"Undifferentiated/unclassified sarcoma (8800-8802, 8805, 8830)",Giant cell sarcoma (8802) ,/3,8802/3,Pleomorphic sarcoma,Si,Malignant
19,"Undifferentiated/unclassified sarcoma (8800-8802, 8805, 8830)",Giant cell sarcoma (8802) ,/3,8802/3,"Pleomorphic sarcoma, undifferentiated",Si,Malignant
20,"Undifferentiated/unclassified sarcoma (8800-8802, 8805, 8830)",Giant cell sarcoma (8802) ,/3,8802/3,Anaplastic sarcoma of the kidney†,boh!,
21,"Undifferentiated/unclassified sarcoma (8800-8802, 8805, 8830)",Giant cell sarcoma (8802) ,/1,8802/1,Pleomorphic hyalinizing angiectatic tumour,Si,Borderline
22,Round cell sarcoma/Ewing-like sarcoma (8803),Round cell sarcoma/Ewing-like sarcoma (8803),/3,8803/3,"Round cell sarcoma, undifferentiated",Si,Malignant
23,Epithelioid sarcoma (8804) ,Epithelioid sarcoma (8804) ,/3,8804/3,Epithelioid sarcoma,Si,Malignant
24,Epithelioid sarcoma (8804) ,Epithelioid sarcoma (8804) ,/3,8804/3,Proximal or large cell epithelioid sarcoma,Si,Malignant
25,Epithelioid sarcoma (8804) ,Epithelioid sarcoma (8804) ,/3,8804/3,Classic epithelioid sarcoma,Si,Malignant
26,Epithelioid sarcoma (8804) ,Epithelioid sarcoma (8804) ,/3,8804/3,Undifferentiated epithelioid sarcoma,Si,Malignant
27,"Undifferentiated/unclassified sarcoma (8800-8802, 8805, 8830)",Undifferentiated sarcoma (8805) ,/3,8805/3,Undifferentiated sarcoma,Si,Malignant
28,"Undifferentiated/unclassified sarcoma (8800-8802, 8805, 8830)",Undifferentiated sarcoma (8805) ,/3,8805/3,"Undifferentiated sarcoma, NOS",Si,Malignant
29,Desmoplastic small round cell tumor (8806),Desmoplastic small round cell tumor (8806),/3,8806/3,Desmoplastic small round cell tumour,Si,Malignant
30,"Fibrosarcoma (8810, 8812, 8813) ","Fibrosarcoma, NOS (8810)",/0,8810/0,"Fibroma, NOS",Si,Benign
31,"Fibrosarcoma (8810, 8812, 8813) ","Fibrosarcoma, NOS (8810)",/0,8810/0,Desmoplastic fibroblastoma,Si,Benign
32,"Fibrosarcoma (8810, 8812, 8813) ","Fibrosarcoma, NOS (8810)",/0,8810/0,Nuchal fibroma,Si,Benign
33,"Fibrosarcoma (8810, 8812, 8813) ","Fibrosarcoma, NOS (8810)",/0,8810/0,EWSR1::SMAD3-rearranged fibroblastic tumour†,Si,Benign
34,"Fibrosarcoma (8810, 8812, 8813) ","Fibrosarcoma, NOS (8810)",/0,8810/0,Gardner fibroma,Si,Benign
35,"Fibrosarcoma (8810, 8812, 8813) ","Fibrosarcoma, NOS (8810)",/1,8810/1,Cellular fibroma,Si,Benign
36,"Fibrosarcoma (8810, 8812, 8813) ","Fibrosarcoma, NOS (8810)",/1,8810/1,Superficial CD34-positive fibroblastic tumour,Si,Benign
37,"Fibrosarcoma (8810, 8812, 8813) ","Fibrosarcoma, NOS (8810)",/3,8810/3,Fibrosarcoma NOS,Si,Malignant
38,Myxofibrosarcoma (8811),Myxofibrosarcoma (8811),/0,8811/0,Acral fibromyxoma,Si,Benign
39,Myxofibrosarcoma (8811),Myxofibrosarcoma (8811),/0,8811/0,Plexiform fibromyxoma,Si,Benign
40,Myxofibrosarcoma (8811),Myxofibrosarcoma (8811),/1,8811/1,Myxoinflammatory fibroblastic sarcoma,Si,Borderline
41,Myxofibrosarcoma (8811),Myxofibrosarcoma (8811),/1,8811/1,Haemosiderotic fibrolipomatous tumour,Si,Borderline
42,Myxofibrosarcoma (8811),Myxofibrosarcoma (8811),/3,8811/3,Myxofibrosarcoma,Si,Malignant
43,Myxofibrosarcoma (8811),Myxofibrosarcoma (8811),/3,8811/3,Epithelioid myxofibrosarcoma,Si,Malignant
,"Fibrosarcoma (8810, 8812, 8813)",Periosteal fibrosarcoma (8812),/0,8812/0,Periosteal fibroma,,
,"Fibrosarcoma (8810, 8812, 8813)",Periosteal fibrosarcoma (8812),/3,8812/3,Periosteal fibrosarcoma,,
,"Fibrosarcoma (8810, 8812, 8813)",Fascial fibrosarcoma (8813),/0,8813/0,Fibroma of tendon sheath,No,
,"Fibrosarcoma (8810, 8812, 8813)",Fascial fibrosarcoma (8813),/1,8813/1,Palmar/plantar-type fibromatosis,Si,Borderline
,"Fibrosarcoma (8810, 8812, 8813)",Fascial fibrosarcoma (8813),/3,8813/3,Fascial fibrosarcoma,,
44,Infantile fibrosarcoma (8814),Infantile fibrosarcoma (8814),/3,8814/3,Infantile fibrosarcoma,Si,Malignant
45,"Solitary fibrous tumour (8815, 9150) ",Solitary fibrous tumors (8815),/0,8815/0,"Solitary fibrous tumour, benign",Si,Benign
46,"Solitary fibrous tumour (8815, 9150) ",Solitary fibrous tumors (8815),/1,8815/1,Solitary fibrous tumour NOS,Si,Borderline
47,"Solitary fibrous tumour (8815, 9150) ",Solitary fibrous tumors (8815),/1,8815/1,Solitary fibrous tumour,Si,Borderline
48,"Solitary fibrous tumour (8815, 9150) ",Solitary fibrous tumors (8815),/1,8815/1,Lipomatous solitary fibrous tumour,Si,Borderline
49,"Solitary fibrous tumour (8815, 9150) ",Solitary fibrous tumors (8815),/1,8815/1,Dedifferentiated (anaplastic) solitary fibrous tumour,Si,Malignant
50,"Solitary fibrous tumour (8815, 9150) ",Solitary fibrous tumors (8815),/1,8851/1,Lipofibromatosis,Si,Borderline
51,"Solitary fibrous tumour (8815, 9150) ",Solitary fibrous tumors (8815),,,Inclusion body infantile digital fibromatosis,si,Benign
52,"Solitary fibrous tumour (8815, 9150) ",Solitary fibrous tumors (8815),/3,8815/3,"Solitary fibrous tumour, malignant",Si,Malignant
53,"Solitary fibrous tumour (8815, 9150) ",Solitary fibrous tumors (8815),,,Lipomatous solitary fibrous tumour,Si,Borderline
54,Low-grade myofibroblastic sarcoma (8825),Low-grade myofibroblastic sarcoma (8825),/0,8825/0,Myofibroblastoma,Si,Benign
55,Low-grade myofibroblastic sarcoma (8825),Low-grade myofibroblastic sarcoma (8825),/1,8825/1,Inflammatory myofibroblastic tumour,Si,Borderline
56,Low-grade myofibroblastic sarcoma (8825),Low-grade myofibroblastic sarcoma (8825),/1,8825/1,Epithelioid inflammatory myofibroblastic sarcoma,Si,Borderline
57,Low-grade myofibroblastic sarcoma (8825),Low-grade myofibroblastic sarcoma (8825),/3,8825/3,Myofibroblastic sarcoma,Si,Malignant
58,Low-grade myofibroblastic sarcoma (8825),Low-grade myofibroblastic sarcoma (8825),/3,8825/3,Low-grade myofibroblastic sarcoma,Si,Malignant
,"Undifferentiated/unclassified sarcoma (8800-8802, 8805, 8830)",Malignant Fibrous histiocytoma (MFH) (8830),/0,8830/0,Fibrous histiocytoma,Si,Benigno
,"Undifferentiated/unclassified sarcoma (8800-8802, 8805, 8830)",Malignant Fibrous histiocytoma (MFH) (8830),/0,8830/0,          Cellular fibrous histiocytoma†,Si,Benigno
,"Undifferentiated/unclassified sarcoma (8800-8802, 8805, 8830)",Malignant Fibrous histiocytoma (MFH) (8830),/0,8830/0,          Aneurysmal fibrous histiocytoma†,Si,Benigno
,"Undifferentiated/unclassified sarcoma (8800-8802, 8805, 8830)",Malignant Fibrous histiocytoma (MFH) (8830),/0,8830/0,Epithelioid fibrous histiocytoma,Si,Benigno
,"Undifferentiated/unclassified sarcoma (8800-8802, 8805, 8830)",Malignant Fibrous histiocytoma (MFH) (8830),/1,8830/1,Atypical fibrous histiocytoma,,
,"Undifferentiated/unclassified sarcoma (8800-8802, 8805, 8830)",Malignant Fibrous histiocytoma (MFH) (8830),/1,8830/1,Atypical fibroxanthoma,Si,Borderline
,"Undifferentiated/unclassified sarcoma (8800-8802, 8805, 8830)",Malignant Fibrous histiocytoma (MFH) (8830),/3,8830/3,Malignant fibrous histiocytoma,,
,Dermatofibrosarcoma protuberans (8832-8833),"Dermatofibrosarcoma, NOS (8832) ",/0,8832/0,"Dermatofibroma, NOS",,
59,Dermatofibrosarcoma protuberans (8832-8833),"Dermatofibrosarcoma, NOS (8832) ",/1,8832/1,Dermatofibrosarcoma protuberans NOS,Si,Borderline
60,Dermatofibrosarcoma protuberans (8832-8833),"Dermatofibrosarcoma, NOS (8832) ",/1,8832/1,Myxoid dermatofibrosarcoma protuberans,Si,Borderline
61,Dermatofibrosarcoma protuberans (8832-8833),"Dermatofibrosarcoma, NOS (8832) ",/1,8832/1,Dermatofibrosarcoma protuberans with myoid differentiation,Si,Borderline
62,Dermatofibrosarcoma protuberans (8832-8833),"Dermatofibrosarcoma, NOS (8832) ",/1,8832/1,Plaque-like dermatofibrosarcoma protuberans,Si,Borderline
