Subsite,ICD-O-3,Site,Group,Macrogrouping
Vallecula,C10.0,Oropharynx,Pharynx,Head and neck
Anterior surface of epiglottis,C10.1,Oropharynx,Pharynx,Head and neck
Lateral wall of oropharynx,C10.2,Oropharynx,Pharynx,Head and neck
Lateral wall of mesopharynx,C10.2,Oropharynx,Pharynx,Head and neck
Posterior wall of oropharynx,C10.3,Oropharynx,Pharynx,Head and neck
Posterior wall of mesopharynx,C10.3,Oropharynx,Pharynx,Head and neck
Branchial cleft (site of neoplasm),C10.4,Oropharynx,Pharynx,Head and neck
Overlapping lesion of oropharynx,C10.8 ,Oropharynx,Pharynx,Head and neck
Junctional region of oropharynx,C10.8 ,Oropharynx,Pharynx,Head and neck
"Oropharynx, NOS",C10.9,Oropharynx,Pharynx,Head and neck
"Mesopharynx, NOS",C10.9,Oropharynx,Pharynx,Head and neck
"Fauces, NOS",C10.9,Oropharynx,Pharynx,Head and neck
Superior wall of nasopharynx,C11.0,Nasopharynx,Pharynx,Head and neck
Roof of nasopharynx,C11.0,Nasopharynx,Pharynx,Head and neck
Posterior wall of nasopharynx,C11.1,Nasopharynx,Pharynx,Head and neck
Adenoid,C11.1,Nasopharynx,Pharynx,Head and neck
Pharyngeal tonsil,C11.1,Nasopharynx,Pharynx,Head and neck
Lateral wall of nasopharynx,C11.2,Nasopharynx,Pharynx,Head and neck
Fossa of Rosenmuller,C11.2,Nasopharynx,Pharynx,Head and neck
Anterior wall of nasopharynx,C11.3,Nasopharynx,Pharynx,Head and neck
Nasopharyngeal surface of soft palate,C11.3,Nasopharynx,Pharynx,Head and neck
Pharyngeal fornix,C11.3,Nasopharynx,Pharynx,Head and neck
Choana,C11.3,Nasopharynx,Pharynx,Head and neck
Posterior margin of nasal septum,C11.3,Nasopharynx,Pharynx,Head and neck
Overlapping lesion of nasopharynx,C11.8,Nasopharynx,Pharynx,Head and neck
"Nasopharynx, NOS",C11.9,Nasopharynx,Pharynx,Head and neck
Nasopharyngeal wall,C11.9,Nasopharynx,Pharynx,Head and neck
Pyriform sinus,C12.9,Pyriform Sinus,Pharynx,Head and neck
Piriform sinus,C12.9,Pyriform Sinus,Pharynx,Head and neck
Pyriform fossa,C12.9,Pyriform Sinus,Pharynx,Head and neck
Piriform fossa,C12.9,Pyriform Sinus,Pharynx,Head and neck
Postcricoid region,C13.0,Hypopharynx,Pharynx,Head and neck
