Variable,Importance,First phase,MissingPercent,3,nan
MissingPercentPerPatient,,,,35.0,38.33
Total High at diagnosis,High,,7.46,14.93,0.0
Total High at progression,High,,0.0,0.0,0.0
Total High at recurrence,High,,0.0,0.0,0.0
Total Medium at diagnosis,Medium,,43.75,87.5,0.0
Total Medium at progression,Medium,,0.0,0.0,0.0
Total Medium at recurrence,Medium,,0.0,0.0,0.0
Total Low at diagnosis,Low,,9.53,19.05,0.0
Total Low at progression,Low,,0.0,0.0,0.0
Total Low at recurrence,Low,,0.0,0.0,0.0
Patient.sex,High,Diagnosis,50.0,,Missing
Patient.race,Low,Diagnosis,50.0,,Missing
Patient.birthYear,High,Diagnosis,50.0,,Missing
Patient.countryOfResidence,Low,Diagnosis,50.0,,Missing
Patient.smoking,Low,Diagnosis,50.0,,Missing
Patient.cigarettesPackYearsSmokedDuringLife,Low,Diagnosis,50.0,,Missing
Patient.alcohol,Low,Diagnosis,50.0,,Missing
Patient.charlsonComorbidityIndex,Medium,Diagnosis,50.0,,Missing
Patient.noGeneticSyndrome,High,Diagnosis,50.0,,Missing
Patient.olliersDisease,High,Diagnosis,50.0,,Missing
Patient.maffuciSyndrome,High,Diagnosis,50.0,,Missing
Patient.liFraumeniSyndrome,High,Diagnosis,50.0,,Missing
Patient.mccuneAlbrightSyndrome,High,Diagnosis,50.0,,Missing
Patient.multipleOsteochondromas,High,Diagnosis,50.0,,Missing
Patient.neurofibromatosisType1,High,Diagnosis,50.0,,Missing
Patient.rothmundThomsonSyndrome,High,Diagnosis,50.0,,Missing
Patient.wernerSyndrome,High,Diagnosis,50.0,,Missing
Patient.retinoblastoma,High,Diagnosis,50.0,,Missing
Patient.pagetDisease,High,Diagnosis,50.0,,Missing
Patient.otherGeneticSyndrome,High,Diagnosis,50.0,,Missing
Patient.previousMalignantCancerSite,Medium,Diagnosis,50.0,,Missing
Patient.previousCancerTreatment,Medium,Diagnosis,50.0,,Missing
CancerEpisode.patient,High,Diagnosis,50.0,,Missing
CancerEpisode.cancerStartDate,High,Diagnosis,50.0,,Missing
Diagnosis.cancerepisode,High,Diagnosis,50.0,,Missing
Diagnosis.dateOfDiagnosis,High,Diagnosis,50.0,,Missing
Diagnosis.typeOfBiopsy,High,Diagnosis,50.0,,Missing
Diagnosis.biopsyDoneBy,Low,Diagnosis,50.0,,Missing
Diagnosis.ageAtDiagnosis,High,Diagnosis,50.0,,Missing
Diagnosis.radiotherapyInducedSarcoma,Low,Diagnosis,50.0,,Missing
Diagnosis.biopsyGrading,Low,Diagnosis,50.0,,Missing
Diagnosis.histologyGroup,Low,Diagnosis,50.0,,Missing
Diagnosis.site,Low,Diagnosis,50.0,,Missing
Diagnosis.histologySubgroup,High,Diagnosis,50.0,,Missing
Diagnosis.subsite,High,Diagnosis,50.0,,Missing
Diagnosis.diagnosisCode,High,Diagnosis,50.0,,Missing
Diagnosis.tumorSize,High,Diagnosis,50.0,,Missing
Diagnosis.superficialDepth,High,Diagnosis,50.0,,Missing
Diagnosis.deepDepth,High,Diagnosis,50.0,,Missing
